ID	XL	YL	XR	YR
129	4560.0000	1825.0000	2654.3815	1825.1877
130	3696.0000	2301.0000	1792.5899	2301.1723
131	4378.0000	3344.0000	2479.5276	3343.9758
132	4460.0000	3370.0000	2562.7878	3369.9152
133	4255.0000	3575.0000	2357.4249	3575.0139
134	4469.0000	2512.0000	2566.7041	2512.0976
135	5047.0000	1701.0000	3160.6053	1701.1006
136	3240.0000	2134.0000	1335.6093	2134.1476
137	4412.0000	1869.0000	2506.8442	1868.7959
138	3904.0000	2565.0000	2000.7936	2565.2794
139	2552.0000	3828.0000	658.1554	3828.2813
140	5037.0000	4105.0000	3150.0137	4104.6171
141	3348.0000	1647.0000	1464.0514	1647.2909
142	3382.0000	2175.0000	1476.9439	2175.3201
143	3139.0000	893.0000	1256.5140	894.6799
144	2387.0000	3889.0000	492.2457	3889.1626
145	3866.0000	3720.0000	1976.3658	3720.0506
146	4973.0000	1789.0000	3065.9340	1789.0163
147	5048.0000	1414.0000	3151.2015	1408.0528
148	3965.0000	2518.0000	2066.3081	2518.1227
149	2840.0000	1823.0000	954.8793	1823.1713
150	4379.0000	2005.0000	2473.2160	2004.9690
151	5005.0000	1500.0000	3122.3579	1500.2898
152	4830.0000	3551.0000	2923.9012	3550.8832
153	4574.0000	2395.0000	2667.6518	2395.1147
154	4386.0000	1762.0000	2504.1590	1762.3851
155	3574.0000	1714.0000	1690.5011	1714.0422
156	3855.0000	2521.0000	1954.1816	2521.2782
157	2368.0000	3997.0000	461.7361	3997.0678
158	4497.0000	2320.0000	2589.7330	2320.1112
159	3901.0000	2511.0000	2002.9682	2511.2773
160	4758.0000	4170.0000	2874.5368	4169.5262
161	2329.0000	4074.0000	421.8748	4073.9914
162	5011.0000	2266.0000	3105.7563	2266.2787
163	3920.0000	3689.0000	2033.5117	3689.0628
164	3153.0000	1434.0000	1270.9013	1434.0770
165	3068.0000	1751.0000	1183.2172	1751.2291
166	4361.0000	2044.0000	2456.2952	2043.8607
167	2820.0000	1524.0000	938.2623	1523.8798
168	4596.0000	3509.0000	2700.2314	3508.8655
169	3384.0000	1909.0000	1491.5366	1909.1975
170	3528.0000	3583.0000	1624.7529	3583.3088
171	3810.0000	2455.0000	1912.0645	2455.1151
172	2884.0000	3716.0000	979.7362	3716.1757
173	4331.0000	3487.0000	2431.1669	3486.3546
174	4535.0000	3549.0000	2639.4631	3548.7822
175	3990.0000	1941.0000	2083.1095	1940.9585
176	4503.0000	1836.0000	2597.7731	1836.6483
177	5066.0000	2274.0000	3160.1604	2273.3960
178	3513.0000	1618.0000	1629.0575	1618.2155
179	3209.0000	2123.0000	1304.5558	2123.3470
180	4368.0000	1888.0000	2463.3019	1888.2027
181	3559.0000	4721.0000	1676.9689	4720.5392
182	4344.0000	2229.0000	2439.2292	2229.2583
183	4654.0000	3570.0000	2758.2556	3569.7971
184	4706.0000	2567.0000	2807.4550	2567.2149
185	4493.0000	1987.0000	2587.3035	1987.1780
186	4414.0000	3408.0000	2515.6380	3407.9247
187	3780.0000	605.0000	1891.2614	610.6616
188	3306.0000	1635.0000	1421.9364	1635.1275
189	4945.0000	4096.0000	3052.9158	4095.7114
190	4644.0000	2731.0000	2746.1445	2731.0657
191	3960.0000	1912.0000	2061.3361	1913.2838
192	2217.0000	1945.0000	322.2076	1945.0661
193	4247.0000	2433.0000	2344.5728	2433.0655
194	4255.0000	3438.0000	2355.1777	3437.7474
195	4222.0000	2451.0000	2319.9245	2451.1634
196	3817.0000	3701.0000	1928.1171	3701.1623
197	2892.0000	1950.0000	996.5853	1950.1909
198	4450.0000	2063.0000	2545.9999	2063.0996
199	2289.0000	3855.0000	391.7523	3855.0874
