ID	XL	YL	XR	YR
181	488.0000	125.0000	366.0311	93.6522
182	232.0000	983.0000	118.0530	945.6991
183	153.0000	487.0000	36.9129	455.5185
184	186.0000	745.0000	71.2996	711.0389
185	167.0000	227.0000	49.0078	196.9651
186	284.0000	646.0000	167.1553	612.8668
187	198.0000	545.0000	81.7314	512.9927
188	427.0000	907.0000	309.1500	870.6449
189	473.0000	496.0000	352.7257	463.5071
190	433.0000	702.0000	314.3098	668.1087
191	482.0000	810.0000	363.0215	774.8095
192	297.0000	1015.0000	180.5571	976.8755
193	205.0000	47.0000	85.3451	17.0611
194	580.0000	67.0000	457.3552	35.1353
195	472.0000	193.0000	350.4649	161.6593
196	656.0000	138.0000	532.9314	105.7825
197	262.0000	972.0000	146.3681	934.7910
198	618.0000	48.0000	494.8262	15.8062
199	461.0000	164.0000	339.4040	132.6838
200	138.0000	384.0000	21.4846	353.4316
201	538.0000	1030.0000	418.9387	991.7556
202	253.0000	1024.0000	138.8383	985.8785
203	353.0000	376.0000	233.6921	344.6420
204	376.0000	146.0000	255.0976	115.0805
205	660.0000	97.0000	536.7281	64.6906
206	136.0000	912.0000	23.2483	875.8204
207	703.0000	193.0000	579.6805	160.5921
208	503.0000	839.0000	383.8579	803.4670
209	724.0000	450.0000	601.3147	417.0382
210	668.0000	744.0000	546.4939	709.2724
211	450.0000	647.0000	330.7371	613.5335
212	729.0000	790.0000	606.8548	754.6915
213	195.0000	275.0000	77.0192	244.6463
214	741.0000	115.0000	617.3116	82.4100
215	608.0000	1110.0000	488.2359	1070.5476
216	229.0000	1100.0000	115.4290	1060.5389
217	647.0000	370.0000	524.8309	337.6817
218	492.0000	431.0000	371.0062	398.7406
219	323.0000	623.0000	205.4341	590.0364
220	177.0000	587.0000	61.2774	554.6469
221	634.0000	428.0000	511.9958	395.3608
222	627.0000	1070.0000	506.0464	1031.0504
223	180.0000	192.0000	61.6183	161.9504
224	244.0000	219.0000	125.0814	188.6137
225	462.0000	350.0000	341.3757	318.3812
226	270.0000	518.0000	152.5902	486.0307
227	718.0000	532.0000	595.4220	498.5923
228	234.0000	559.0000	117.3338	526.7672
229	715.0000	672.0000	592.8620	637.7351
230	158.0000	814.0000	44.2620	779.1972
231	406.0000	206.0000	285.0211	174.8848
232	323.0000	653.0000	205.6031	619.7059
233	182.0000	304.0000	64.4012	273.6150
234	443.0000	1146.0000	326.1405	1105.8989
235	493.0000	216.0000	371.3879	184.5429
236	160.0000	263.0000	42.4121	232.9147
237	235.0000	255.0000	116.4027	224.5385
238	249.0000	390.0000	131.0986	358.9071
239	196.0000	1091.0000	83.2554	1051.8050
240	742.0000	405.0000	619.0726	372.2390
241	401.0000	383.0000	281.1859	351.4465
242	165.0000	1156.0000	52.7412	1115.5310
243	376.0000	176.0000	255.1598	145.0422
244	475.0000	389.0000	354.4316	357.1801
245	348.0000	307.0000	228.3480	275.9616
246	601.0000	438.0000	479.4019	405.4760
247	389.0000	695.0000	270.8273	661.2367
248	179.0000	691.0000	64.1520	657.6368
249	268.0000	320.0000	149.4352	289.2495
250	353.0000	650.0000	235.1564	616.6948
251	648.0000	469.0000	526.0374	436.1693
252	521.0000	672.0000	400.8407	638.1149
253	185.0000	391.0000	67.9005	360.1313
254	612.0000	209.0000	489.4459	177.0887
255	311.0000	396.0000	192.3463	364.6440
256	634.0000	924.0000	513.3320	887.1506
257	162.0000	64.0000	42.8657	34.2257
258	310.0000	343.0000	191.0514	311.9920
259	669.0000	664.0000	547.4886	629.9203
260	677.0000	493.0000	554.8163	460.0167
261	603.0000	127.0000	480.2307	95.0734
262	512.0000	366.0000	390.9135	334.1490
263	413.0000	354.0000	292.8448	322.5177
264	360.0000	52.0000	238.7318	21.2551
265	603.0000	306.0000	480.8202	273.9385
266	468.0000	690.0000	348.6656	656.1483
267	502.0000	1007.0000	383.1569	969.0547
268	674.0000	177.0000	550.9746	144.8096
269	376.0000	625.0000	257.5683	591.8654
270	388.0000	1077.0000	271.1072	1037.9536
271	300.0000	814.0000	183.8326	779.0285
272	142.0000	636.0000	27.1006	603.2627
273	298.0000	1118.0000	183.5999	1078.4550
274	728.0000	756.0000	605.7912	721.0032
275	702.0000	701.0000	579.9726	666.5181
276	297.0000	750.0000	180.6009	715.7637
277	381.0000	663.0000	262.7764	629.5212
278	698.0000	732.0000	576.1666	697.2853
279	301.0000	458.0000	182.7371	426.3588
280	218.0000	201.0000	99.2920	170.8098
281	398.0000	601.0000	279.3027	568.0715
282	356.0000	1136.0000	240.6579	1096.0862
283	426.0000	669.0000	307.2136	635.4265
284	311.0000	697.0000	193.9603	663.3309
285	407.0000	765.0000	288.9128	730.4653
286	220.0000	810.0000	104.7418	775.1166
287	707.0000	484.0000	584.6192	450.8846
288	702.0000	635.0000	579.8962	601.1516
289	166.0000	905.0000	52.7152	868.9169
290	518.0000	272.0000	396.4233	240.3968
291	266.0000	907.0000	150.8761	870.6498
292	271.0000	412.0000	152.9258	380.6723
293	353.0000	737.0000	235.5297	702.7740
